id,mm
198,64.821230593
199,102.298816205
200,100.428773293
201,98.9038906724
202,100.016111833
203,96.634883147
204,81.2977687353
205,93.403344906
206,96.3057127219
207,95.2609920397
208,97.0932475168
209,95.9866625052
210,83.5554018305
211,78.4826116914
212,94.5532050363
213,67.0204762707
214,86.0004054212
215,96.1919474933
216,57.2250710967
217,53.0646639421
218,86.7359516905
219,81.7778434639
220,90.0321785823
221,65.7642679822
222,53.2310596584
223,59.7619321369
224,97.3331225287
225,78.2138916484
226,78.1596147689
227,50.7170065471
228,60.1944275033
229,70.9860883813
230,39.2569310314
231,76.0436072659
232,92.0829109066
233,91.6625588726
234,77.4158288557
235,77.654239877
236,95.328697257
237,100.003576924
238,96.3081405562
239,47.6017269179
240,41.4842203418
241,48.6091374968
242,103.707262843
243,104.559623131
244,86.3319066817
245,30.2206625695
246,101.819075527
247,31.8215724983
248,28.0127057246
249,24.2079617638
250,111.189470503
251,31.3705323465
252,29.2729265025
253,26.1898086492
254,23.5605938346
255,32.4091098888
256,23.0929339183
257,65.1454219996
258,62.4473705393
259,41.2584727413
260,58.3126506973
261,29.920150549
262,35.1025388771
263,38.5465377266
264,42.1678570856
265,54.2830767657
266,64.2400698694
267,23.7072300889
268,106.0468051
269,99.9073381267
270,93.0471536691
271,66.1674824065
272,45.5607937724
273,37.8029945331
274,70.7448062106
275,73.3123153209
276,46.2447510079
277,39.8753591413
278,39.0571964968
279,36.4298810259
280,49.2211155865
281,108.586074974
282,115.367782512
283,104.67236033
284,77.0041520606
285,58.2267563428
286,39.679673337
287,82.9185067821
288,98.8875302773
289,104.360421281
290,113.12713733
291,113.0665186
292,106.221336021
293,80.2170375928
294,47.4406870007
295,96.666682741
296,94.1754958547
297,103.776302318
298,90.6004307507
299,71.673071334
300,74.7514949928
301,48.0946972227
302,90.8910303029
303,68.5123107902
304,89.7943280763
305,48.6476119008
306,50.0278322252
307,45.5543042877
308,53.5393644367
309,85.2247372567
310,66.0994906231
311,55.0512071721
312,29.9010697534
313,35.0372953163
314,38.4500341051
315,42.6995065031
316,37.0281681006
317,41.0127429624
318,41.5335866921
319,44.1866078258
320,108.49888811
321,42.7797452293
322,91.8726576255
323,82.8472399105
324,94.8587673937
325,104.337533601
326,80.3043798613
327,80.2660691772
328,45.31576822
329,74.1815568167
330,75.208913583
331,54.9498141487
332,54.6993344039
333,105.400985044
334,96.1912422198
335,84.737434925
336,58.4501706629
337,62.2333159091
338,104.257914123
339,90.6363434514
340,99.2326986945
341,72.4201301597
342,93.2697468419
343,61.041986835
344,87.6900712269
345,82.1525357102
346,86.1343672732
347,53.4643533777
348,74.2573750694
349,100.91010857
350,100.610996744
351,101.399842445
352,101.502280937
353,85.0364395102
354,92.2767131836
355,97.3523542683
356,84.6683565681
357,94.7935376667
358,80.2705275279
359,88.2413469941
360,91.6751854661
361,88.5533174176
362,65.5938850708
363,83.388144186
364,76.6573262087
365,82.550422868
366,78.581444251
367,84.3576721469
368,84.0596088817
369,83.49065817
370,48.7444043411
371,62.8709023458
372,56.5918656037
373,72.6362228411
374,100.02841211
375,102.330244029
376,97.3279705533
377,97.8732647022
378,97.6327431495
379,97.5775066336
380,99.6363202883
381,99.5080737542
382,100.743764899
383,100.302604136
384,103.400905785
385,103.771964726
386,102.294668108
387,108.082267606
388,110.671704589
389,111.151003871
390,112.066322561
391,113.602626784
392,114.364714788
393,114.206389626
394,115.024439897
395,109.835840477
396,112.752515549
397,112.427424339
398,111.645910507
399,109.96603102
400,104.969559806
401,110.257366033
402,111.642735082
403,54.0948903236
404,87.6300057609
405,88.176156506
406,80.7646758643
407,50.7464693719
408,74.1776865384
409,37.6725026823
410,31.7543518992
411,24.1437422468
412,84.6838332219
413,87.5756204642
